id;host_id;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
29414727;41313259;Copacabana;-22.96529;-43.17456;Private room;117;4;1;30/06/2019;0.05;4;170
29416183;33815069;Copacabana;-22.96735;-43.18138;Entire home/apt;164;2;1;24/02/2019;0.04;2;327
29417593;240289;Leblon;-22.98334;-43.2238;Entire home/apt;195;1;10;19/03/2020;0.37;4;0
29418477;136472074;Jardim Guanabara;-22.81865;-43.19215;Entire home/apt;1600;1;1;19/01/2020;0.07;4;334
29418504;221597210;Ipanema;-22.98796;-43.19014;Entire home/apt;1199;1;2;02/01/2020;0.08;7;365
29419019;57671630;Jardim Guanabara;-22.81795;-43.20356;Entire home/apt;119;1;7;08/03/2021;0.57;7;32
29419841;221616046;Leblon;-22.98637;-43.23128;Entire home/apt;300;2;5;13/05/2019;0.18;1;0
29420276;221619202;Copacabana;-22.96528;-43.18179;Entire home/apt;190;4;28;19/02/2021;1.05;1;0
29431449;115138742;Leme;-22.9651;-43.17258;Entire home/apt;928;3;0;;;2;157
29431681;11162396;Botafogo;-22.95624;-43.18939;Entire home/apt;200;2;13;26/02/2020;0.48;1;0
29431972;167472593;Camorim;-22.97601;-43.41388;Entire home/apt;152;4;4;22/11/2019;0.17;26;299
29434625;44868085;Leblon;-22.98362;-43.22317;Entire home/apt;500;2;7;02/01/2021;0.24;3;0
29434753;11784613;Leme;-22.96159;-43.16691;Entire home/apt;380;3;3;09/10/2019;0.12;1;179
29438238;64275672;Copacabana;-22.9648;-43.1755;Entire home/apt;119;3;66;01/03/2021;2.24;4;4
29438607;96744925;Copacabana;-22.96969;-43.18765;Entire home/apt;589;2;85;14/03/2021;2.97;1;332
29441291;167472593;Camorim;-22.97461;-43.41512;Entire home/apt;92;14;2;02/01/2020;0.1;26;300
29442026;167472593;Camorim;-22.97574;-43.41507;Entire home/apt;700;2;2;04/01/2021;0.08;26;325
29451489;167472593;Camorim;-22.9743;-43.41505;Entire home/apt;180;2;2;08/07/2019;0.07;26;300
29455155;171691674;Barra da Tijuca;-22.99057;-43.3509;Entire home/apt;283;3;28;19/02/2021;1.03;1;212
29459743;167472593;Camorim;-22.97441;-43.41525;Entire home/apt;415;3;3;26/02/2020;0.14;26;325
29463898;219665582;Jacarepaguá;-22.9649;-43.40491;Entire home/apt;256;4;5;06/01/2021;0.18;1;363
29464030;116412289;Campo Grande;-22.86817;-43.60058;Entire home/apt;470;1;0;;;1;359
29466716;125562710;Jacarepaguá;-22.97436;-43.41469;Entire home/apt;250;4;0;;;3;365
29480603;71526253;Copacabana;-22.97646;-43.18866;Entire home/apt;929;3;2;06/10/2019;0.09;1;359
29483699;10090649;Botafogo;-22.9496;-43.18265;Entire home/apt;109;2;60;06/02/2021;2.31;1;114
29484018;11398067;Santa Teresa;-22.92258;-43.18763;Entire home/apt;119;2;6;27/02/2020;0.22;1;180
29484824;88538129;Ipanema;-22.98592;-43.20578;Entire home/apt;579;2;6;27/01/2020;0.22;1;98
29486396;83786132;Recreio dos Bandeirantes;-23.03032;-43.47007;Entire home/apt;555;2;16;04/01/2021;0.59;1;71
29486677;222080099;Copacabana;-22.96218;-43.17678;Entire home/apt;400;5;0;;;1;0
29489651;222101185;Botafogo;-22.95273;-43.18867;Entire home/apt;199;4;2;17/02/2021;0.13;1;312
29489993;199737514;Jacarepaguá;-22.97027;-43.33453;Entire home/apt;500;4;0;;;1;358
29490948;222111430;Copacabana;-22.97642;-43.19076;Entire home/apt;557;30;42;20/12/2020;1.55;1;69
29494795;77813380;Copacabana;-22.96763;-43.18336;Entire home/apt;300;3;0;;;5;177
29510377;2513825;Tijuca;-22.93581;-43.23998;Private room;129;2;18;26/02/2020;0.63;20;0
29512201;12797693;Barra da Tijuca;-23.00799;-43.32216;Entire home/apt;466;3;6;26/01/2020;0.22;1;178
29518977;49375047;Copacabana;-22.96936;-43.18255;Entire home/apt;2000;8;0;;;1;0
29539604;33815069;Copacabana;-22.9705;-43.18559;Entire home/apt;190;2;1;17/11/2019;0.06;2;300
29539796;11938382;Gávea;-22.98201;-43.24095;Entire home/apt;5000;4;0;;;1;83
29542987;181371284;Ipanema;-22.98535;-43.199;Entire home/apt;523;14;1;05/01/2019;0.04;1;364
29545281;5244125;Copacabana;-22.9623;-43.17626;Entire home/apt;180;3;0;;;1;363
